,date,tweet,dirty_tweet
136,2018-12-18 18:32:52,Aafia Babita Guddu Ashok Ye pehle hi kam the jo ye ek aur aa gaya Par cute toh hai ye 2DaysToZero Book your tickets now KatrinaKaif,"Aafia, Babita, Guddu, Ashok! Ye pehle hi kam the jo ye ek aur aa gaya! Par cute toh hai ye! 
#2DaysToZero

Book your tickets now: https://t.co/VOT6yMCzRd

@AnushkaSharma #KatrinaKaif @aanandlrai @RedChilliesEnt @cypplOfficial https://t.co/dijcvlNh43"
137,2018-12-18 12:23:22,Thanks to can take Aafia amp Babita for the movie Zero on 21stDec Apni aankhon mein bithake for my eyes only,Thanks to @Snapchat @BauuaSingh can take Aafia &amp; Babita for the movie #Zero on 21stDec... Apni aankhon mein bithake...for my eyes only... https://t.co/OX0fXcUx4v
138,2018-12-18 11:32:08,Oh this is nice Now will have to learn how to use Snapchat,Oh this is nice! Now will have to learn how to use Snapchat! https://t.co/Zy5tgORc1s
139,2018-12-18 11:26:28,It s really sweet and touching how you all are booking tickets for Zero in advance Thank you amp hope u all enjoy the experience Love u,It’s really sweet and touching how you all are booking tickets for #Zero in advance. Thank you &amp; hope u all enjoy the experience. Love u.
140,2018-12-16 23:09:22,Aise toh mat karo yaar Love you both for this awesomeness,Aise toh mat karo yaar. Love you both for this awesomeness. https://t.co/4Ji9st3UrK
141,2018-12-16 22:20:21,Kya baat hai yaar Encompasses the whole film feel and more Thank u,Kya baat hai yaar. Encompasses the whole film feel and more. Thank u. https://t.co/K7pPEZxU0M
142,2018-12-16 22:00:08,Sir amazing toh aap lagte hain Too much respect and love for your friendship and kindness always and forever,Sir amazing toh aap lagte hain. Too much respect and love for your friendship and kindness always and forever. https://t.co/oKdIvJvJwK
143,2018-12-16 17:38:49,and Alexa ki prem kahani Poor Aafia seems a bit miffed Thank u Amazon for this mad love from Alexa obviously BauuaOnAlexa,@BauuaSingh and Alexa ki prem kahani. Poor Aafia seems a bit miffed!! Thank u Amazon for this mad love from Alexa...obviously!!! #BauuaOnAlexa https://t.co/NY2zL1ZXY1
144,2018-12-16 09:17:20,Bam Thank you so much for all your love and effort Bless you Titu,@Bhuvan_Bam @RedChilliesEnt @Zero21Dec Thank you so much for all your love and effort. Bless you Titu...
145,2018-12-16 09:17:18,happy Burthday Janam din tumhaara hai manane ke liye Uttar Pradesh aa Gaya Lubh you lubh UP ki sardi,"@BauuaSingh  happy Burthday. Janam din tumhaara hai, manane ke liye मैं Uttar Pradesh aa Gaya. Lubh you एंड lubh UP ki sardi... https://t.co/eFqb9pkIsf"
146,2018-12-16 07:39:45,Bhai subah se issi soch mein hoon ke tumhe gift kya doon Tumne mere birthday par sab ko Bauua gift kiya tha toh tumhare birthday par meri taraf se BookingsOpenForZero,"Bhai @BauuaSingh subah se issi soch mein hoon ke tumhe gift kya doon! Tumne mere birthday par sab ko #Bauua gift kiya tha, toh tumhare birthday par, meri taraf se #BookingsOpenForZero

https://t.co/3ypCFSElGD https://t.co/HmvA9oO88V"
147,2018-12-16 06:31:29,Tell her uncle loves her,Tell her uncle loves her…https://t.co/wx5IbL9ynA
