,tweet
182,"Last year, my colleagues and I sued President Trump for violating the Constitution's emoluments clause, which prohibits presidents from receiving payments from foreign governments without Congress's approval.

We just got the green light to move forward. This is a big win. https://t.co/ixaGAIg7nA"
183,@pitt082303 @Jnriz3 @RyanAFournier Unlike those hard hitting Fox news Trump interviews
184,My favorite moment of the night was @EWarren revealing that she doesn’t just have a plan to beat Trump and make our government work for the people. She also has a plan to deal with Mitch McConnell. #DemDebate #YesWePlan https://t.co/jnUD1fah2Q
185,"Taking your child across unknown waters in an attempt to illegally enter someone else's country is Child Abuse, not heroic.

The only reason people care is because it's an attempted hit on Trump. 

Dang shame."
186,Warren won’t beat trump. Only Biden and Bernie got a chance
187,"@realDonaldTrump “Trade wars are good, and easy to win.”
- Donald Trump"
188,"On a scale of one to eleventy-seven, how much do you think Trump boils with jealous rage when he gazes upon Cory Booker's lovely, giant hands?"
189,"If an American president had said this during the Cold War he would have been called before Congress and, if he persisted with this attitude, removed from office within a week. We did not tolerate traitors.
The House needs to impeach @realDonaldTrump NOW!

https://t.co/sjxCgmDvYd"
190,"As president, I would make sure our country gets back on the 2015 Iran Deal. We can't afford another forever war, and I’m fighting to stop Donald Trump from dragging us into another one. #DemDebate"
191,"Donny Deutsch (paraphrased): You need a bigger bully to out-bully Trump. And for no reason in particular, I'm going to only talk about men as viable candidates.

Lawrence O'Donnell: With all due respect, your analysis a year-and-a-half out has zero value. You're just guessing."
192,"@benfergusonshow @ewarren do you aspire to be as immature, childish, and stupid as Donald Trump when you grow up?"
193,"#DemDebate this NBC guy talking about all democrats have to do is flip those states. Why not change the election laws to actually represent the people. Replace first-past-the-post voting with approval or range voting. Fix the system, and trump wouldn’t have happened."
194,@DanRather Very sad!!  Trump is such an embarrassment!!
